Date,Night usage(10p.m-7a.m.)(KW/h),Daytime usage(8a.m- 9p.m.)(KW/h),Total consuption(KW/h),Outside Temperture(℃)
07-Jul-21,12.0 ,4.0 ,16.0 ,20.0 
08-Jul-21,15.0 ,11.0 ,26.0 ,24.0 
09-Jul-21,12.0 ,4.0 ,16.0 ,18.0 
10-Jul-21,16.0 ,6.0 ,22.0 ,24.0 
12-Jul-21,20.0 ,12.0 ,32.0 ,18.0 
13-Jul-21,13.0 ,4.0 ,17.0 ,20.0 
14-Jul-21,13.0 ,7.0 ,20.0 ,20.0 
15-Jul-21,12.0 ,9.0 ,21.0 ,22.0 
16-Jul-21,18.0 ,9.0 ,27.0 ,23.0 
17-Jul-21,15.0 ,5.0 ,20.0 ,18.0 
18-Jul-21,13.0 ,5.0 ,18.0 ,22.0 
19-Jul-21,13.0 ,5.0 ,18.0 ,16.0 
20-Jul-21,11.0 ,7.0 ,18.0 ,13.0 
25-Jul-21,72.0 ,21.0 ,93.0 ,17.0 
26-Jul-21,11.0 ,4.0 ,15.0 ,18.0 
03-Aug-21,68.0 ,33.0 ,101.0 ,16.0 
04-Aug-21,17.0 ,5.0 ,22.0 ,13.0 
05-Aug-21,20.0 ,6.0 ,26.0 ,12.0 
06-Aug-21,12.0 ,5.0 ,17.0 ,10.0 
07-Aug-21,17.0 ,5.0 ,22.0 ,16.0 
08-Aug-21,18.0 ,3.0 ,21.0 ,17.0 
10-Aug-21,15.0 ,11.0 ,26.0 ,17.0 
11-Aug-21,11.0 ,5.0 ,16.0 ,14.0 
12-Aug-21,12.0 ,3.0 ,15.0 ,16.0 
13-Aug-21,13.0 ,4.0 ,17.0 ,14.0 
14-Aug-21,17.0 ,4.0 ,21.0 ,18.0 
15-Aug-21,10.0 ,5.0 ,15.0 ,15.0 
16-Aug-21,17.0 ,5.0 ,22.0 ,12.0 
17-Aug-21,17.0 ,4.0 ,21.0 ,16.0 
18-Aug-21,21.0 ,5.0 ,26.0 ,15.0 
19-Aug-21,15.0 ,5.0 ,20.0 ,14.0 
20-Aug-21,12.0 ,5.0 ,17.0 ,13.0 
21-Aug-21,12.0 ,5.0 ,17.0 ,14.0 
22-Aug-21,16.0 ,6.0 ,22.0 ,13.0 
23-Aug-21,13.0 ,5.0 ,18.0 ,11.0 
24-Aug-21,17.0 ,8.0 ,25.0 ,10.0 
25-Aug-21,12.0 ,8.0 ,20.0 ,12.0 
26-Aug-21,21.0 ,6.0 ,27.0 ,12.0 
27-Aug-21,13.0 ,6.0 ,19.0 ,12.0 
28-Aug-21,24.0 ,6.0 ,30.0 ,14.0 
29-Aug-21,15.0 ,6.0 ,21.0 ,14.0 
30-Aug-21,16.0 ,5.0 ,21.0 ,11.0 
31-Aug-21,15.0 ,8.0 ,23.0 ,8.0 
01-Sep-21,20.0 ,6.0 ,26.0 ,10.0 
02-Sep-21,17.0 ,7.0 ,24.0 ,6.0 
03-Sep-21,16.0 ,6.0 ,22.0 ,9.0 
04-Sep-21,25.0 ,10.0 ,35.0 ,6.0 
05-Sep-21,19.0 ,14.0 ,33.0 ,4.0 
06-Sep-21,17.0 ,8.0 ,25.0 ,9.0 
07-Sep-21,15.0 ,12.0 ,27.0 ,6.0 
08-Sep-21,27.0 ,9.0 ,36.0 ,12.0 
12-Sep-21,74.0 ,28.0 ,102.0 ,14.0 
13-Sep-21,26.0 ,7.0 ,33.0 ,14.0 
14-Sep-21,22.0 ,11.0 ,33.0 ,8.0 
15-Sep-21,28.0 ,11.0 ,39.0 ,4.0 
16-Sep-21,24.0 ,11.0 ,35.0 ,7.0 
17-Sep-21,21.0 ,12.0 ,33.0 ,6.0 
18-Sep-21,30.0 ,10.0 ,40.0 ,7.0 
19-Sep-21,27.0 ,13.0 ,40.0 ,8.0 
20-Sep-21,21.0 ,12.0 ,33.0 ,6.0 
21-Sep-21,28.0 ,16.0 ,44.0 ,5.0 
22-Sep-21,34.0 ,17.0 ,51.0 ,1.0 
23-Sep-21,24.0 ,15.0 ,39.0 ,5.0 
24-Sep-21,19.0 ,12.0 ,31.0 ,8.0 
25-Sep-21,32.0 ,11.0 ,43.0 ,9.0 
26-Sep-21,24.0 ,10.0 ,34.0 ,7.0 
27-Sep-21,22.0 ,13.0 ,35.0 ,4.0 
28-Sep-21,18.0 ,14.0 ,32.0 ,3.0 
29-Sep-21,28.0 ,11.0 ,39.0 ,8.0 
30-Sep-21,18.0 ,10.0 ,28.0 ,9.0 
01-Oct-21,20.0 ,11.0 ,31.0 ,8.0 
02-Oct-21,26.0 ,8.0 ,34.0 ,10.0 
03-Oct-21,25.0 ,11.0 ,36.0 ,8.0 
04-Oct-21,19.0 ,9.0 ,28.0 ,8.0 
05-Oct-21,12.0 ,8.0 ,20.0 ,10.0 
09-Oct-21,75.0 ,31.0 ,106.0 ,12.0 
10-Oct-21,15.0 ,8.0 ,23.0 ,11.0 
11-Oct-21,16.0 ,11.0 ,27.0 ,10.0 
12-Oct-21,23.0 ,10.0 ,33.0 ,8.0 
13-Oct-21,20.0 ,12.0 ,32.0 ,7.0 
14-Oct-21,29.0 ,15.0 ,44.0 ,1.0 
15-Oct-21,28.0 ,12.0 ,40.0 ,8.0 
16-Oct-21,22.0 ,14.0 ,36.0 ,3.0 
23-Oct-21,129.0 ,74.0 ,203.0 ,2.0 
24-Oct-21,38.0 ,17.0 ,55.0 ,-3.0 
25-Oct-21,35.0 ,11.0 ,46.0 ,8.0 
26-Oct-21,23.0 ,10.0 ,33.0 ,7.0 
27-Oct-21,25.0 ,10.0 ,35.0 ,6.0 
28-Oct-21,31.0 ,12.0 ,43.0 ,6.0 
31-Oct-21,76.0 ,28.0 ,104.0 ,8.0 
01-Nov-21,23.0 ,11.0 ,34.0 ,8.0 
02-Nov-21,20.0 ,13.0 ,33.0 ,4.0 
03-Nov-21,29.0 ,11.0 ,40.0 ,6.0 
04-Nov-21,25.0 ,10.0 ,35.0 ,8.0 
05-Nov-21,32.0 ,12.0 ,44.0 ,7.0 
06-Nov-21,28.0 ,14.0 ,42.0 ,3.0 
07-Nov-21,32.0 ,15.0 ,47.0 ,-1.0 
08-Nov-21,31.0 ,16.0 ,47.0 ,1.0 
09-Nov-21,30.0 ,22.0 ,52.0 ,-7.0 
10-Nov-21,36.0 ,14.0 ,50.0 ,6.0 
11-Nov-21,22.0 ,12.0 ,34.0 ,3.0 
12-Nov-21,30.0 ,11.0 ,41.0 ,5.0 
13-Nov-21,23.0 ,11.0 ,34.0 ,-1.0 
14-Nov-21,22.0 ,12.0 ,34.0 ,0.0 
15-Nov-21,23.0 ,13.0 ,36.0 ,-3.0 
16-Nov-21,21.0 ,10.0 ,31.0 ,5.0 
17-Nov-21,23.0 ,10.0 ,33.0 ,5.0 
18-Nov-21,23.0 ,10.0 ,33.0 ,6.0 
19-Nov-21,20.0 ,12.0 ,32.0 ,1.0 
20-Nov-21,25.0 ,12.0 ,37.0 ,3.0 
21-Nov-21,31.0 ,12.0 ,43.0 ,-1.0 
22-Nov-21,23.0 ,15.0 ,38.0 ,-6.0 
23-Nov-21,28.0 ,13.0 ,41.0 ,0.0 
24-Nov-21,30.0 ,14.0 ,44.0 ,3.0 
25-Nov-21,24.0 ,12.0 ,36.0 ,4.0 
26-Nov-21,19.0 ,13.0 ,32.0 ,-2.0 
27-Nov-21,28.0 ,15.0 ,43.0 ,-9.0 
29-Nov-21,58.0 ,34.0 ,92.0 ,-5.0 
30-Nov-21,33.0 ,22.0 ,55.0 ,-9.0 
01-Dec-21,48.0 ,20.0 ,68.0 ,-7.0 
02-Dec-21,37.0 ,23.0 ,60.0 ,-9.0 
03-Dec-21,44.0 ,22.0 ,66.0 ,-11.0 
04-Dec-21,45.0 ,17.0 ,62.0 ,-6.0 
05-Dec-21,42.0 ,22.0 ,64.0 ,-16.0 
06-Dec-21,45.0 ,23.0 ,68.0 ,-13.0 
07-Dec-21,54.0 ,23.0 ,77.0 ,-18.0 
08-Dec-21,54.0 ,22.0 ,76.0 ,-19.0 
09-Dec-21,48.0 ,22.0 ,70.0 ,-11.0 
10-Dec-21,35.0 ,18.0 ,53.0 ,-4.0 
11-Dec-21,25.0 ,14.0 ,39.0 ,-1.0 
12-Dec-21,27.0 ,11.0 ,38.0 ,1.0 
13-Dec-21,20.0 ,11.0 ,31.0 ,0.0 
14-Dec-21,22.0 ,10.0 ,32.0 ,2.0 
15-Dec-21,27.0 ,10.0 ,37.0 ,1.0 
16-Dec-21,23.0 ,10.0 ,33.0 ,3.0 
17-Dec-21,22.0 ,10.0 ,32.0 ,0.0 
18-Dec-21,24.0 ,12.0 ,36.0 ,1.0 
19-Dec-21,32.0 ,14.0 ,46.0 ,0.0 
20-Dec-21,30.0 ,17.0 ,47.0 ,-9.0 
21-Dec-21,33.0 ,20.0 ,53.0 ,-11.0 
22-Dec-21,46.0 ,23.0 ,69.0 ,-13.0 
23-Dec-21,50.0 ,22.0 ,72.0 ,-3.0 
24-Dec-21,36.0 ,17.0 ,53.0 ,-10.0 
25-Dec-21,49.0 ,23.0 ,72.0 ,-17.0 
26-Dec-21,46.0 ,22.0 ,68.0 ,-17.0 
27-Dec-21,48.0 ,23.0 ,71.0 ,-16.0 
28-Dec-21,42.0 ,23.0 ,65.0 ,-11.0 
29-Dec-21,40.0 ,17.0 ,57.0 ,-4.0 
30-Dec-21,36.0 ,17.0 ,53.0 ,-3.0 
31-Dec-21,36.0 ,15.0 ,51.0 ,0.0 
01-Jan-22,41.0 ,14.0 ,55.0 ,-5.0 
02-Jan-22,24.0 ,15.0 ,39.0 ,-7.0 
03-Jan-22,32.0 ,14.0 ,46.0 ,-2.0 
04-Jan-22,35.0 ,15.0 ,50.0 ,-1.0 
05-Jan-22,35.0 ,13.0 ,48.0 ,0.0 
06-Jan-22,28.0 ,14.0 ,42.0 ,-5.0 
07-Jan-22,41.0 ,16.0 ,57.0 ,-10.0 
08-Jan-22,42.0 ,21.0 ,63.0 ,-14.0 
09-Jan-22,40.0 ,16.0 ,56.0 ,-4.0 
10-Jan-22,34.0 ,17.0 ,51.0 ,-9.0 
11-Jan-22,37.0 ,22.0 ,59.0 ,-19.0 
12-Jan-22,44.0 ,18.0 ,62.0 ,-3.0 
13-Jan-22,36.0 ,14.0 ,50.0 ,2.0 
14-Jan-22,25.0 ,12.0 ,37.0 ,2.0 
15-Jan-22,27.0 ,13.0 ,40.0 ,-1.0 
16-Jan-22,35.0 ,14.0 ,49.0 ,-2.0 
17-Jan-22,29.0 ,13.0 ,42.0 ,0.0 
18-Jan-22,35.0 ,16.0 ,51.0 ,-7.0 
19-Jan-22,27.0 ,15.0 ,42.0 ,-3.0 
20-Jan-22,24.0 ,14.0 ,38.0 ,1.0 
21-Jan-22,34.0 ,14.0 ,48.0 ,-2.0 
22-Jan-22,31.0 ,14.0 ,45.0 ,-5.0 
23-Jan-22,33.0 ,17.0 ,50.0 ,-5.0 
24-Jan-22,26.0 ,13.0 ,39.0 ,1.0 
25-Jan-22,32.0 ,14.0 ,46.0 ,-1.0 
26-Jan-22,24.0 ,16.0 ,40.0 ,-6.0 
27-Jan-22,28.0 ,14.0 ,42.0 ,0.0 
28-Jan-22,28.0 ,13.0 ,41.0 ,0.0 
29-Jan-22,39.0 ,15.0 ,54.0 ,-4.0 
30-Jan-22,27.0 ,13.0 ,40.0 ,-1.0 
31-Jan-22,36.0 ,15.0 ,51.0 ,-6.0 
01-Feb-22,43.0 ,18.0 ,61.0 ,-8.0 
02-Feb-22,40.0 ,19.0 ,59.0 ,-9.0 
03-Feb-22,39.0 ,19.0 ,58.0 ,-11.0 
04-Feb-22,51.0 ,20.0 ,71.0 ,-6.0 
05-Feb-22,33.0 ,24.0 ,57.0 ,-2.0 
06-Feb-22,27.0 ,5.0 ,32.0 ,-1.0 
07-Feb-22,33.0 ,12.0 ,45.0 ,0.0 
08-Feb-22,29.0 ,13.0 ,42.0 ,-2.0 
09-Feb-22,26.0 ,14.0 ,40.0 ,-4.0 
10-Feb-22,26.0 ,14.0 ,40.0 ,-3.0 
11-Feb-22,32.0 ,15.0 ,47.0 ,-5.0 
12-Feb-22,29.0 ,17.0 ,46.0 ,-5.0 
13-Feb-22,26.0 ,12.0 ,38.0 ,1.0 
14-Feb-22,27.0 ,11.0 ,38.0 ,1.0 
15-Feb-22,34.0 ,12.0 ,46.0 ,1.0 
16-Feb-22,26.0 ,11.0 ,37.0 ,1.0 
17-Feb-22,22.0 ,12.0 ,34.0 ,1.0 
18-Feb-22,25.0 ,14.0 ,39.0 ,-1.0 
19-Feb-22,32.0 ,15.0 ,47.0 ,0.0 
20-Feb-22,30.0 ,14.0 ,44.0 ,-4.0 
21-Feb-22,27.0 ,13.0 ,40.0 ,-2.0 
22-Feb-22,36.0 ,14.0 ,50.0 ,-1.0 
23-Feb-22,33.0 ,17.0 ,50.0 ,-12.0 
24-Feb-22,28.0 ,13.0 ,41.0 ,1.0 
25-Feb-22,21.0 ,13.0 ,34.0 ,1.0 
26-Feb-22,22.0 ,13.0 ,35.0 ,-3.0 
27-Feb-22,23.0 ,14.0 ,37.0 ,-3.0 
28-Feb-22,23.0 ,13.0 ,36.0 ,-3.0 
01-Mar-22,22.0 ,13.0 ,35.0 ,-3.0 
02-Mar-22,21.0 ,15.0 ,36.0 ,1.0 
03-Mar-22,25.0 ,13.0 ,38.0 ,-3.0 
04-Mar-22,29.0 ,14.0 ,43.0 ,-7.0 
05-Mar-22,27.0 ,16.0 ,43.0 ,-10.0 
06-Mar-22,31.0 ,13.0 ,44.0 ,-4.0 
07-Mar-22,23.0 ,14.0 ,37.0 ,-1.0 
08-Mar-22,23.0 ,12.0 ,35.0 ,-3.0 
09-Mar-22,25.0 ,13.0 ,38.0 ,-3.0 
10-Mar-22,27.0 ,15.0 ,42.0 ,-9.0 
11-Mar-22,29.0 ,12.0 ,41.0 ,0.0 
12-Mar-22,27.0 ,13.0 ,40.0 ,-3.0 
13-Mar-22,30.0 ,12.0 ,42.0 ,-5.0 
14-Mar-22,31.0 ,13.0 ,44.0 ,-5.0 
15-Mar-22,22.0 ,13.0 ,35.0 ,-6.0 
16-Mar-22,21.0 ,11.0 ,32.0 ,-7.0 
17-Mar-22,22.0 ,11.0 ,33.0 ,-6.0 
18-Mar-22,28.0 ,11.0 ,39.0 ,-4.0 
19-Mar-22,22.0 ,10.0 ,32.0 ,2.0 
20-Mar-22,22.0 ,10.0 ,32.0 ,1.0 
21-Mar-22,18.0 ,10.0 ,28.0 ,-1.0 
22-Mar-22,26.0 ,10.0 ,36.0 ,-3.0 
23-Mar-22,25.0 ,8.0 ,33.0 ,-2.0 
24-Mar-22,20.0 ,10.0 ,30.0 ,-1.0 
25-Mar-22,27.0 ,10.0 ,37.0 ,3.0 
26-Mar-22,22.0 ,9.0 ,31.0 ,4.0 
27-Mar-22,31.0 ,11.0 ,42.0 ,-3.0 
28-Mar-22,27.0 ,13.0 ,40.0 ,2.0 
29-Mar-22,20.0 ,11.0 ,31.0 ,-4.0 
30-Mar-22,21.0 ,12.0 ,33.0 ,-7.0 
31-Mar-22,22.0 ,14.0 ,36.0 ,-9.0 
01-Apr-22,24.0 ,13.0 ,37.0 ,-8.0 
02-Apr-22,28.0 ,13.0 ,41.0 ,-3.0 
03-Apr-22,25.0 ,12.0 ,37.0 ,0.0 
04-Apr-22,27.0 ,11.0 ,38.0 ,0.0 
05-Apr-22,23.0 ,11.0 ,34.0 ,0.0 
06-Apr-22,23.0 ,12.0 ,35.0 ,-7.0 
07-Apr-22,24.0 ,11.0 ,35.0 ,-2.0 
08-Apr-22,23.0 ,11.0 ,34.0 ,3.0 
09-Apr-22,23.0 ,10.0 ,33.0 ,1.0 
10-Apr-22,21.0 ,11.0 ,32.0 ,1.0 
11-Apr-22,19.0 ,10.0 ,29.0 ,1.0 
12-Apr-22,22.0 ,9.0 ,31.0 ,-1.0 
13-Apr-22,19.0 ,8.0 ,27.0 ,-2.0 
14-Apr-22,17.0 ,8.0 ,25.0 ,2.0 
15-Apr-22,21.0 ,10.0 ,31.0 ,4.0 
16-Apr-22,26.0 ,9.0 ,35.0 ,3.0 
17-Apr-22,29.0 ,10.0 ,39.0 ,-3.0 
19-Apr-22,35.0 ,15.0 ,50.0 ,1.0 
20-Apr-22,16.0 ,8.0 ,24.0 ,1.0 
21-Apr-22,22.0 ,7.0 ,29.0 ,5.0 
22-Apr-22,11.0 ,9.0 ,20.0 ,2.0 
23-Apr-22,21.0 ,8.0 ,29.0 ,5.0 
24-Apr-22,24.0 ,9.0 ,33.0 ,4.0 
25-Apr-22,20.0 ,10.0 ,30.0 ,4.0 
26-Apr-22,16.0 ,9.0 ,25.0 ,8.0 
27-Apr-22,12.0 ,9.0 ,21.0 ,4.0 
28-Apr-22,17.0 ,10.0 ,27.0 ,-2.0 
29-Apr-22,28.0 ,9.0 ,37.0 ,2.0 
30-Apr-22,18.0 ,13.0 ,31.0 ,3.0 
01-May-22,20.0 ,8.0 ,28.0 ,6.0 
02-May-22,27.0 ,10.0 ,37.0 ,4.0 
03-May-22,26.0 ,9.0 ,35.0 ,10.0 
04-May-22,15.0 ,8.0 ,23.0 ,6.0 
05-May-22,24.0 ,11.0 ,35.0 ,5.0 
06-May-22,13.0 ,8.0 ,21.0 ,9.0 
07-May-22,12.0 ,8.0 ,20.0 ,12.0 
08-May-22,12.0 ,9.0 ,21.0 ,8.0 
09-May-22,11.0 ,8.0 ,19.0 ,4.0 
10-May-22,14.0 ,11.0 ,25.0 ,12.0 
11-May-22,14.0 ,7.0 ,21.0 ,8.0 
12-May-22,16.0 ,7.0 ,23.0 ,8.0 
13-May-22,15.0 ,7.0 ,22.0 ,14.0 
14-May-22,23.0 ,8.0 ,31.0 ,8.0 
15-May-22,22.0 ,9.0 ,31.0 ,13.0 
16-May-22,17.0 ,7.0 ,24.0 ,9.0 
17-May-22,17.0 ,8.0 ,25.0 ,6.0 
18-May-22,15.0 ,7.0 ,22.0 ,9.0 
19-May-22,24.0 ,6.0 ,30.0 ,9.0 
20-May-22,22.0 ,7.0 ,29.0 ,11.0 
21-May-22,17.0 ,8.0 ,25.0 ,10.0 
22-May-22,20.0 ,11.0 ,31.0 ,11.0 
23-May-22,13.0 ,9.0 ,22.0 ,14.0 
24-May-22,11.0 ,8.0 ,19.0 ,17.0 
25-May-22,8.0 ,9.0 ,17.0 ,15.0 
26-May-22,12.0 ,7.0 ,19.0 ,13.0 
27-May-22,15.0 ,7.0 ,22.0 ,10.0 
28-May-22,19.0 ,7.0 ,26.0 ,10.0 
29-May-22,19.0 ,6.0 ,25.0 ,11.0 
30-May-22,20.0 ,7.0 ,27.0 ,15.0 
31-May-22,14.0 ,7.0 ,21.0 ,13.0 
01-Jun-22,20.0 ,5.0 ,25.0 ,10.0 
02-Jun-22,15.0 ,7.0 ,22.0 ,12.0 
03-Jun-22,22.0 ,7.0 ,29.0 ,10.0 
04-Jun-22,13.0 ,6.0 ,19.0 ,11.0 
05-Jun-22,14.0 ,6.0 ,20.0 ,18.0 
06-Jun-22,15.0 ,8.0 ,23.0 ,18.0 
07-Jun-22,12.0 ,5.0 ,17.0 ,16.0 
08-Jun-22,16.0 ,5.0 ,21.0 ,12.0 
13-Jun-22,39.0 ,20.0 ,59.0 ,20.0 
14-Jun-22,11.0 ,6.0 ,17.0 ,15.0 
15-Jun-22,12.0 ,7.0 ,19.0 ,15.0 
16-Jun-22,9.0 ,6.0 ,15.0 ,22.0 
17-Jun-22,11.0 ,5.0 ,16.0 ,22.0 
18-Jun-22,11.0 ,6.0 ,17.0 ,15.0 
19-Jun-22,18.0 ,4.0 ,22.0 ,16.0 
20-Jun-22,16.0 ,6.0 ,22.0 ,20.0 
21-Jun-22,20.0 ,4.0 ,24.0 ,9.0 
22-Jun-22,12.0 ,7.0 ,19.0 ,20.0 
23-Jun-22,14.0 ,3.0 ,17.0 ,23.0 
24-Jun-22,19.0 ,7.0 ,26.0 ,18.0 
25-Jun-22,14.0 ,3.0 ,17.0 ,26.0 
26-Jun-22,11.0 ,5.0 ,16.0 ,29.0 
27-Jun-22,12.0 ,4.0 ,16.0 ,29.0 
28-Jun-22,13.0 ,5.0 ,18.0 ,30.0 
29-Jun-22,14.0 ,5.0 ,19.0 ,28.0 
30-Jun-22,14.0 ,4.0 ,18.0 ,24.0 
01-Jul-22,10.0 ,9.0 ,19.0 ,27.0 
02-Jul-22,12.0 ,5.0 ,17.0 ,26.0 
03-Jul-22,16.0 ,8.0 ,24.0 ,23.0 
04-Jul-22,10.0 ,6.0 ,16.0 ,25.0 
05-Jul-22,15.0 ,5.0 ,20.0 ,26.0 
06-Jul-22,10.0 ,4.0 ,14.0 ,18.0 
07-Jul-22,11.0 ,4.0 ,15.0 ,19.0 
08-Jul-22,9.0 ,5.0 ,14.0 ,22.0 
09-Jul-22,12.0 ,3.0 ,15.0 ,17.0 
10-Jul-22,12.0 ,4.0 ,16.0 ,17.0 
11-Jul-22,10.0 ,3.0 ,13.0 ,23.0 
12-Jul-22,11.0 ,3.0 ,14.0 ,18.0 
13-Jul-22,10.0 ,3.0 ,13.0 ,21.0 
14-Jul-22,11.0 ,3.0 ,14.0 ,17.0 
15-Jul-22,16.0 ,5.0 ,21.0 ,13.0 
16-Jul-22,13.0 ,4.0 ,17.0 ,15.0 
17-Jul-22,11.0 ,5.0 ,16.0 ,14.0 
18-Jul-22,13.0 ,5.0 ,18.0 ,13.0 
19-Jul-22,16.0 ,4.0 ,20.0 ,18.0 
20-Jul-22,13.0 ,4.0 ,17.0 ,18.0 
21-Jul-22,14.0 ,3.0 ,17.0 ,20.0 
22-Jul-22,14.0 ,4.0 ,18.0 ,22.0 
23-Jul-22,11.0 ,3.0 ,14.0 ,20.0 
24-Jul-22,11.0 ,3.0 ,14.0 ,17.0 
05-Aug-22,84.0 ,39.0 ,123.0 ,23.0 
06-Aug-22,14.0 ,4.0 ,18.0 ,21.0 
07-Aug-22,8.0 ,5.0 ,13.0 ,19.0 
08-Aug-22,14.0 ,3.0 ,17.0 ,15.0 
09-Aug-22,20.0 ,3.0 ,23.0 ,17.0 
10-Aug-22,11.0 ,4.0 ,15.0 ,17.0 
11-Aug-22,14.0 ,4.0 ,18.0 ,18.0 
12-Aug-22,12.0 ,4.0 ,16.0 ,18.0 
13-Aug-22,11.0 ,5.0 ,16.0 ,20.0 
14-Aug-22,11.0 ,3.0 ,14.0 ,18.0 
15-Aug-22,8.0 ,5.0 ,13.0 ,13.0 
16-Aug-22,10.0 ,5.0 ,15.0 ,19.0 
17-Aug-22,6.0 ,4.0 ,10.0 ,20.0 
18-Aug-22,7.0 ,3.0 ,10.0 ,21.0 
19-Aug-22,6.0 ,5.0 ,11.0 ,20.0 
20-Aug-22,7.0 ,4.0 ,11.0 ,23.0 
21-Aug-22,11.0 ,3.0 ,14.0 ,21.0 
22-Aug-22,12.0 ,3.0 ,15.0 ,20.0 
23-Aug-22,10.0 ,4.0 ,14.0 ,15.0 
24-Aug-22,9.0 ,3.0 ,12.0 ,19.0 
25-Aug-22,10.0 ,3.0 ,13.0 ,17.0 
26-Aug-22,10.0 ,3.0 ,13.0 ,16.0 
27-Aug-22,10.0 ,4.0 ,14.0 ,16.0 
28-Aug-22,13.0 ,3.0 ,16.0 ,19.0 
29-Aug-22,10.0 ,4.0 ,14.0 ,16.0 
30-Aug-22,15.0 ,5.0 ,20.0 ,11.0 
31-Aug-22,12.0 ,5.0 ,17.0 ,10.0 
01-Sep-22,21.0 ,7.0 ,28.0 ,6.0 
02-Sep-22,9.0 ,6.0 ,15.0 ,4.0 
03-Sep-22,13.0 ,8.0 ,21.0 ,5.0 
04-Sep-22,10.0 ,6.0 ,16.0 ,5.0 
05-Sep-22,10.0 ,6.0 ,16.0 ,7.0 
06-Sep-22,15.0 ,8.0 ,23.0 ,5.0 
07-Sep-22,10.0 ,5.0 ,15.0 ,8.0 
08-Sep-22,11.0 ,6.0 ,17.0 ,2.0 
09-Sep-22,12.0 ,8.0 ,20.0 ,3.0 
11-Sep-22,22.0 ,14.0 ,36.0 ,7.0 
12-Sep-22,12.0 ,8.0 ,20.0 ,3.0 
13-Sep-22,13.0 ,6.0 ,19.0 ,11.0 
14-Sep-22,10.0 ,5.0 ,15.0 ,12.0 
15-Sep-22,11.0 ,6.0 ,17.0 ,12.0 
16-Sep-22,11.0 ,5.0 ,16.0 ,10.0 
17-Sep-22,13.0 ,7.0 ,20.0 ,9.0 
18-Sep-22,10.0 ,5.0 ,15.0 ,8.0 
19-Sep-22,14.0 ,5.0 ,19.0 ,9.0 
20-Sep-22,15.0 ,5.0 ,20.0 ,9.0 
21-Sep-22,15.0 ,7.0 ,22.0 ,4.0 
22-Sep-22,11.0 ,8.0 ,19.0 ,4.0 
23-Sep-22,15.0 ,7.0 ,22.0 ,6.0 
24-Sep-22,14.0 ,7.0 ,21.0 ,10.0 
25-Sep-22,11.0 ,8.0 ,19.0 ,7.0 
26-Sep-22,13.0 ,8.0 ,21.0 ,6.0 
27-Sep-22,18.0 ,7.0 ,25.0 ,10.0 
28-Sep-22,9.0 ,8.0 ,17.0 ,7.0 
29-Sep-22,12.0 ,8.0 ,20.0 ,7.0 
30-Sep-22,16.0 ,7.0 ,23.0 ,7.0 
01-Oct-22,15.0 ,8.0 ,23.0 ,5.0 
02-Oct-22,16.0 ,7.0 ,23.0 ,9.0 
03-Oct-22,14.0 ,5.0 ,19.0 ,5.0 
04-Oct-22,16.0 ,9.0 ,25.0 ,6.0 
05-Oct-22,13.0 ,6.0 ,19.0 ,3.0 
06-Oct-22,10.0 ,6.0 ,16.0 ,12.0 
07-Oct-22,11.0 ,6.0 ,17.0 ,10.0 
08-Oct-22,13.0 ,6.0 ,19.0 ,12.0 
09-Oct-22,12.0 ,5.0 ,17.0 ,5.0 
10-Oct-22,12.0 ,10.0 ,22.0 ,6.0 
11-Oct-22,12.0 ,8.0 ,20.0 ,8.0 
12-Oct-22,12.0 ,9.0 ,21.0 ,4.0 
13-Oct-22,13.0 ,8.0 ,21.0 ,-2.0 
14-Oct-22,10.0 ,9.0 ,19.0 ,9.0 
15-Oct-22,15.0 ,6.0 ,21.0 ,10.0 
16-Oct-22,11.0 ,5.0 ,16.0 ,10.0 
17-Oct-22,10.0 ,6.0 ,16.0 ,9.0 
18-Oct-22,15.0 ,7.0 ,22.0 ,8.0 
19-Oct-22,11.0 ,6.0 ,17.0 ,0.0 
20-Oct-22,13.0 ,10.0 ,23.0 ,2.0 
22-Oct-22,29.0 ,18.0 ,47.0 ,6.0 
23-Oct-22,13.0 ,7.0 ,20.0 ,7.0 
24-Oct-22,11.0 ,10.0 ,21.0 ,-3.0 
25-Oct-22,20.0 ,10.0 ,30.0 ,0.0 
26-Oct-22,14.0 ,6.0 ,20.0 ,9.0 
27-Oct-22,15.0 ,6.0 ,21.0 ,8.0 
28-Oct-22,14.0 ,5.0 ,19.0 ,10.0 
29-Oct-22,13.0 ,4.0 ,17.0 ,11.0 
30-Oct-22,13.0 ,7.0 ,20.0 ,4.0 
31-Oct-22,15.0 ,8.0 ,23.0 ,-1.0 
01-Nov-22,17.0 ,6.0 ,23.0 ,8.0 
02-Nov-22,11.0 ,6.0 ,17.0 ,6.0 
03-Nov-22,14.0 ,9.0 ,23.0 ,7.0 
04-Nov-22,13.0 ,7.0 ,20.0 ,6.0 
05-Nov-22,15.0 ,8.0 ,23.0 ,3.0 
