Period;Night-time distribution tariff (kWh);Day-time distribution tariff (kWh);Outdoor temperature (*C)
Thursday 4.3.2021 23:00;1,26;No metering data available for this period;-3,30
Friday 5.3.2021 00:00;1,75;No metering data available for this period;-4,20
Friday 5.3.2021 01:00;1,28;No metering data available for this period;-4,70
Friday 5.3.2021 02:00;1,35;No metering data available for this period;-5,30
Friday 5.3.2021 03:00;1,34;No metering data available for this period;-5,90
Friday 5.3.2021 04:00;1,33;No metering data available for this period;-6,80
Friday 5.3.2021 05:00;1,50;No metering data available for this period;-7,30
Friday 5.3.2021 06:00;3,29;No metering data available for this period;-7,70
Friday 5.3.2021 07:00;No metering data available for this period;4,37;-8,30
Friday 5.3.2021 08:00;No metering data available for this period;1,71;-7,20
Friday 5.3.2021 09:00;No metering data available for this period;2,26;-4,90
Friday 5.3.2021 10:00;No metering data available for this period;1,49;-3,30
Friday 5.3.2021 11:00;No metering data available for this period;1,45;-2,20
Friday 5.3.2021 12:00;No metering data available for this period;1,66;-1,50
Friday 5.3.2021 13:00;No metering data available for this period;2,30;-0,80
Friday 5.3.2021 14:00;No metering data available for this period;1,44;-0,40
Friday 5.3.2021 15:00;No metering data available for this period;1,36;-0,60
Friday 5.3.2021 16:00;No metering data available for this period;1,83;-1,00
Friday 5.3.2021 17:00;No metering data available for this period;2,62;-2,10
Friday 5.3.2021 18:00;No metering data available for this period;2,22;-3,00
Friday 5.3.2021 19:00;No metering data available for this period;1,88;-3,90
Friday 5.3.2021 20:00;No metering data available for this period;2,18;-4,80
Friday 5.3.2021 21:00;No metering data available for this period;1,87;-5,50
Friday 5.3.2021 22:00;1,83;No metering data available for this period;-6,30
Friday 5.3.2021 23:00;1,45;No metering data available for this period;-7,10
Saturday 6.3.2021 00:00;1,48;No metering data available for this period;-7,70
Saturday 6.3.2021 01:00;1,44;No metering data available for this period;-8,20
Saturday 6.3.2021 02:00;1,62;No metering data available for this period;-8,90
Saturday 6.3.2021 03:00;2,10;No metering data available for this period;-9,20
Saturday 6.3.2021 04:00;1,41;No metering data available for this period;-9,20
Saturday 6.3.2021 05:00;1,49;No metering data available for this period;-8,40
Saturday 6.3.2021 06:00;1,60;No metering data available for this period;-7,10
Saturday 6.3.2021 07:00;No metering data available for this period;2,30;-5,80
Saturday 6.3.2021 08:00;No metering data available for this period;2,18;-2,70
Saturday 6.3.2021 09:00;No metering data available for this period;1,56;-0,40
Saturday 6.3.2021 10:00;No metering data available for this period;2,03;0,00
Saturday 6.3.2021 11:00;No metering data available for this period;1,54;0,20
Saturday 6.3.2021 12:00;No metering data available for this period;1,71;0,60
Saturday 6.3.2021 13:00;No metering data available for this period;1,36;1,00
Saturday 6.3.2021 14:00;No metering data available for this period;1,30;1,50
Saturday 6.3.2021 15:00;No metering data available for this period;1,64;1,90
Saturday 6.3.2021 16:00;No metering data available for this period;1,33;2,10
Saturday 6.3.2021 17:00;No metering data available for this period;3,84;1,90
Saturday 6.3.2021 18:00;No metering data available for this period;6,09;1,70
Saturday 6.3.2021 19:00;No metering data available for this period;2,96;1,70
Saturday 6.3.2021 20:00;No metering data available for this period;1,75;1,10
Saturday 6.3.2021 21:00;No metering data available for this period;1,49;0,80
Saturday 6.3.2021 22:00;1,98;No metering data available for this period;0,30
Saturday 6.3.2021 23:00;1,58;No metering data available for this period;-1,00
Sunday 7.3.2021 00:00;1,35;No metering data available for this period;-2,00
Sunday 7.3.2021 01:00;1,38;No metering data available for this period;-2,60
Sunday 7.3.2021 02:00;1,35;No metering data available for this period;-3,10
Sunday 7.3.2021 03:00;1,67;No metering data available for this period;-4,00
Sunday 7.3.2021 04:00;1,40;No metering data available for this period;-4,30
Sunday 7.3.2021 05:00;1,64;No metering data available for this period;-5,00
Sunday 7.3.2021 06:00;1,50;No metering data available for this period;-5,60
Sunday 7.3.2021 07:00;No metering data available for this period;1,46;-5,30
Sunday 7.3.2021 08:00;No metering data available for this period;1,60;-4,50
Sunday 7.3.2021 09:00;No metering data available for this period;3,01;-3,60
Sunday 7.3.2021 10:00;No metering data available for this period;1,54;-3,00
Sunday 7.3.2021 11:00;No metering data available for this period;1,63;-2,50
Sunday 7.3.2021 12:00;No metering data available for this period;1,51;-1,60
Sunday 7.3.2021 13:00;No metering data available for this period;1,53;-1,60
Sunday 7.3.2021 14:00;No metering data available for this period;1,99;-2,00
Sunday 7.3.2021 15:00;No metering data available for this period;1,53;-2,50
Sunday 7.3.2021 16:00;No metering data available for this period;2,64;-3,00
Sunday 7.3.2021 17:00;No metering data available for this period;2,83;-3,70
Sunday 7.3.2021 18:00;No metering data available for this period;1,63;-4,10
Sunday 7.3.2021 19:00;No metering data available for this period;3,90;-4,50
Sunday 7.3.2021 20:00;No metering data available for this period;4,03;-4,80
Sunday 7.3.2021 21:00;No metering data available for this period;1,68;-5,10
Sunday 7.3.2021 22:00;1,53;No metering data available for this period;-5,00
Sunday 7.3.2021 23:00;1,42;No metering data available for this period;-4,70
Monday 8.3.2021 00:00;1,35;No metering data available for this period;-4,80
Monday 8.3.2021 01:00;1,43;No metering data available for this period;-4,90
Monday 8.3.2021 02:00;1,36;No metering data available for this period;-5,00
Monday 8.3.2021 03:00;1,41;No metering data available for this period;-5,30
Monday 8.3.2021 04:00;1,82;No metering data available for this period;-5,60
Monday 8.3.2021 05:00;1,67;No metering data available for this period;-6,10
Monday 8.3.2021 06:00;1,92;No metering data available for this period;-7,00
Monday 8.3.2021 07:00;No metering data available for this period;1,78;-7,50
Monday 8.3.2021 08:00;No metering data available for this period;1,73;-7,50
Monday 8.3.2021 09:00;No metering data available for this period;2,27;-6,80
Monday 8.3.2021 10:00;No metering data available for this period;1,60;-5,40
Monday 8.3.2021 11:00;No metering data available for this period;1,98;-4,70
Monday 8.3.2021 12:00;No metering data available for this period;1,91;-3,90
Monday 8.3.2021 13:00;No metering data available for this period;1,69;-3,00
Monday 8.3.2021 14:00;No metering data available for this period;1,52;-2,50
Monday 8.3.2021 15:00;No metering data available for this period;1,48;-2,20
Monday 8.3.2021 16:00;No metering data available for this period;1,60;-2,60
Monday 8.3.2021 17:00;No metering data available for this period;5,64;-3,70
Monday 8.3.2021 18:00;No metering data available for this period;5,51;-5,20
Monday 8.3.2021 19:00;No metering data available for this period;2,17;-6,80
Monday 8.3.2021 20:00;No metering data available for this period;2,35;-8,40
Monday 8.3.2021 21:00;No metering data available for this period;1,75;-9,20
Monday 8.3.2021 22:00;1,59;No metering data available for this period;-9,80
Monday 8.3.2021 23:00;2,21;No metering data available for this period;-9,60
Tuesday 9.3.2021 00:00;1,57;No metering data available for this period;-9,40
Tuesday 9.3.2021 01:00;1,50;No metering data available for this period;-9,10
Tuesday 9.3.2021 02:00;1,92;No metering data available for this period;-8,40
Tuesday 9.3.2021 03:00;1,82;No metering data available for this period;-7,80
Tuesday 9.3.2021 04:00;1,51;No metering data available for this period;-7,00
Tuesday 9.3.2021 05:00;1,50;No metering data available for this period;-6,40
Tuesday 9.3.2021 06:00;1,70;No metering data available for this period;-5,70
Tuesday 9.3.2021 07:00;No metering data available for this period;2,37;-4,80
Tuesday 9.3.2021 08:00;No metering data available for this period;2,25;-3,70
Tuesday 9.3.2021 09:00;No metering data available for this period;1,69;-2,90
Tuesday 9.3.2021 10:00;No metering data available for this period;1,52;-2,70
Tuesday 9.3.2021 11:00;No metering data available for this period;1,69;-2,40
Tuesday 9.3.2021 12:00;No metering data available for this period;2,32;-2,80
Tuesday 9.3.2021 13:00;No metering data available for this period;2,16;-2,90
Tuesday 9.3.2021 14:00;No metering data available for this period;1,61;-3,50
Tuesday 9.3.2021 15:00;No metering data available for this period;1,77;-4,10
Tuesday 9.3.2021 16:00;No metering data available for this period;1,75;-4,90
Tuesday 9.3.2021 17:00;No metering data available for this period;2,18;-5,60
Tuesday 9.3.2021 18:00;No metering data available for this period;2,48;-6,70
Tuesday 9.3.2021 19:00;No metering data available for this period;3,21;-8,00
Tuesday 9.3.2021 20:00;No metering data available for this period;2,38;-9,20
Tuesday 9.3.2021 21:00;No metering data available for this period;3,45;-10,00
Tuesday 9.3.2021 22:00;1,61;No metering data available for this period;-10,60
Tuesday 9.3.2021 23:00;2,09;No metering data available for this period;-11,50
Wednesday 10.3.2021 00:00;1,62;No metering data available for this period;-12,40
Wednesday 10.3.2021 01:00;2,20;No metering data available for this period;-13,10
Wednesday 10.3.2021 02:00;1,60;No metering data available for this period;-13,60
Wednesday 10.3.2021 03:00;2,19;No metering data available for this period;-13,80
Wednesday 10.3.2021 04:00;1,56;No metering data available for this period;-14,00
Wednesday 10.3.2021 05:00;2,19;No metering data available for this period;-14,10
Wednesday 10.3.2021 06:00;2,32;No metering data available for this period;-14,50
Wednesday 10.3.2021 07:00;No metering data available for this period;1,84;-14,30
Wednesday 10.3.2021 08:00;No metering data available for this period;3,43;-13,80
Wednesday 10.3.2021 09:00;No metering data available for this period;2,86;-12,10
Wednesday 10.3.2021 10:00;No metering data available for this period;2,14;-9,90
Wednesday 10.3.2021 11:00;No metering data available for this period;1,77;-8,00
Wednesday 10.3.2021 12:00;No metering data available for this period;1,76;-7,10
Wednesday 10.3.2021 13:00;No metering data available for this period;2,10;-6,30
Wednesday 10.3.2021 14:00;No metering data available for this period;1,52;-6,00
Wednesday 10.3.2021 15:00;No metering data available for this period;3,12;-5,90
Wednesday 10.3.2021 16:00;No metering data available for this period;1,86;-6,40
Wednesday 10.3.2021 17:00;No metering data available for this period;4,48;-7,70
Wednesday 10.3.2021 18:00;No metering data available for this period;5,39;-8,80
Wednesday 10.3.2021 19:00;No metering data available for this period;3,69;-9,90
Wednesday 10.3.2021 20:00;No metering data available for this period;2,93;-10,50
Wednesday 10.3.2021 21:00;No metering data available for this period;1,87;-11,70
Wednesday 10.3.2021 22:00;2,28;No metering data available for this period;-9,40
Wednesday 10.3.2021 23:00;1,53;No metering data available for this period;-8,20
Thursday 11.3.2021 00:00;2,11;No metering data available for this period;-8,40
Thursday 11.3.2021 01:00;1,63;No metering data available for this period;-8,40
Thursday 11.3.2021 02:00;1,54;No metering data available for this period;-8,10
Thursday 11.3.2021 03:00;2,20;No metering data available for this period;-7,50
Thursday 11.3.2021 04:00;1,44;No metering data available for this period;-7,40
Thursday 11.3.2021 05:00;1,50;No metering data available for this period;-6,80
Thursday 11.3.2021 06:00;1,85;No metering data available for this period;-6,20
Thursday 11.3.2021 07:00;No metering data available for this period;2,07;-5,90
Thursday 11.3.2021 08:00;No metering data available for this period;2,33;-5,50
Thursday 11.3.2021 09:00;No metering data available for this period;1,53;-4,80
Thursday 11.3.2021 10:00;No metering data available for this period;1,75;-4,00
Thursday 11.3.2021 11:00;No metering data available for this period;1,85;-2,90
Thursday 11.3.2021 12:00;No metering data available for this period;2,08;-2,20
Thursday 11.3.2021 13:00;No metering data available for this period;1,44;-2,00
Thursday 11.3.2021 14:00;No metering data available for this period;1,55;-1,50
Thursday 11.3.2021 15:00;No metering data available for this period;1,44;-0,50
Thursday 11.3.2021 16:00;No metering data available for this period;1,50;-0,40
Thursday 11.3.2021 17:00;No metering data available for this period;2,87;-1,10
Thursday 11.3.2021 18:00;No metering data available for this period;3,15;-1,50
Thursday 11.3.2021 19:00;No metering data available for this period;1,86;-1,60
Thursday 11.3.2021 20:00;No metering data available for this period;1,51;-1,70
Thursday 11.3.2021 21:00;No metering data available for this period;2,01;-1,90
Thursday 11.3.2021 22:00;1,75;No metering data available for this period;-2,20
Thursday 11.3.2021 23:00;1,47;No metering data available for this period;-2,00
Friday 12.3.2021 00:00;1,37;No metering data available for this period;-1,90
Friday 12.3.2021 01:00;1,33;No metering data available for this period;-2,40
Friday 12.3.2021 02:00;1,35;No metering data available for this period;-2,50
Friday 12.3.2021 03:00;1,89;No metering data available for this period;-2,20
Friday 12.3.2021 04:00;1,36;No metering data available for this period;-2,10
Friday 12.3.2021 05:00;1,45;No metering data available for this period;-2,00
Friday 12.3.2021 06:00;1,73;No metering data available for this period;-1,80
Friday 12.3.2021 07:00;No metering data available for this period;1,40;-1,50
Friday 12.3.2021 08:00;No metering data available for this period;2,63;-1,20
Friday 12.3.2021 09:00;No metering data available for this period;1,33;-0,90
Friday 12.3.2021 10:00;No metering data available for this period;1,78;-0,70
Friday 12.3.2021 11:00;No metering data available for this period;1,41;-0,50
Friday 12.3.2021 12:00;No metering data available for this period;2,63;-0,40
Friday 12.3.2021 13:00;No metering data available for this period;2,10;-0,10
Friday 12.3.2021 14:00;No metering data available for this period;1,19;-0,20
Friday 12.3.2021 15:00;No metering data available for this period;1,51;-0,30
Friday 12.3.2021 16:00;No metering data available for this period;1,45;-0,20
Friday 12.3.2021 17:00;No metering data available for this period;2,06;-0,30
Friday 12.3.2021 18:00;No metering data available for this period;4,49;-0,10
Friday 12.3.2021 19:00;No metering data available for this period;5,40;-0,10
Friday 12.3.2021 20:00;No metering data available for this period;2,63;0,00
Friday 12.3.2021 21:00;No metering data available for this period;2,46;0,00
Friday 12.3.2021 22:00;1,46;No metering data available for this period;0,10
Friday 12.3.2021 23:00;1,23;No metering data available for this period;0,10
Saturday 13.3.2021 00:00;1,22;No metering data available for this period;0,10
Saturday 13.3.2021 01:00;1,21;No metering data available for this period;0,00
Saturday 13.3.2021 02:00;1,18;No metering data available for this period;0,00
Saturday 13.3.2021 03:00;1,16;No metering data available for this period;0,30
Saturday 13.3.2021 04:00;1,03;No metering data available for this period;0,70
Saturday 13.3.2021 05:00;1,30;No metering data available for this period;0,90
Saturday 13.3.2021 06:00;1,15;No metering data available for this period;1,20
Saturday 13.3.2021 07:00;No metering data available for this period;1,44;1,50
Saturday 13.3.2021 08:00;No metering data available for this period;1,05;2,10
Saturday 13.3.2021 09:00;No metering data available for this period;0,97;2,70
Saturday 13.3.2021 10:00;No metering data available for this period;1,62;3,40
Saturday 13.3.2021 11:00;No metering data available for this period;1,14;3,60
Saturday 13.3.2021 12:00;No metering data available for this period;1,45;3,50
Saturday 13.3.2021 13:00;No metering data available for this period;0,92;3,40
Saturday 13.3.2021 14:00;No metering data available for this period;0,97;3,40
Saturday 13.3.2021 15:00;No metering data available for this period;1,50;3,70
Saturday 13.3.2021 16:00;No metering data available for this period;2,20;3,30
Saturday 13.3.2021 17:00;No metering data available for this period;1,92;2,60
Saturday 13.3.2021 18:00;No metering data available for this period;1,19;2,40
Saturday 13.3.2021 19:00;No metering data available for this period;2,01;2,00
Saturday 13.3.2021 20:00;No metering data available for this period;2,12;1,90
Saturday 13.3.2021 21:00;No metering data available for this period;1,47;1,90
Saturday 13.3.2021 22:00;1,53;No metering data available for this period;2,00
Saturday 13.3.2021 23:00;0,89;No metering data available for this period;2,00
Sunday 14.3.2021 00:00;1,07;No metering data available for this period;2,10
Sunday 14.3.2021 01:00;1,02;No metering data available for this period;1,90
Sunday 14.3.2021 02:00;1,01;No metering data available for this period;1,70
Sunday 14.3.2021 03:00;0,98;No metering data available for this period;1,70
Sunday 14.3.2021 04:00;0,96;No metering data available for this period;1,60
Sunday 14.3.2021 05:00;1,16;No metering data available for this period;1,60
Sunday 14.3.2021 06:00;1,75;No metering data available for this period;1,60
Sunday 14.3.2021 07:00;No metering data available for this period;2,29;1,90
Sunday 14.3.2021 08:00;No metering data available for this period;1,17;2,20
Sunday 14.3.2021 09:00;No metering data available for this period;1,12;2,40
Sunday 14.3.2021 10:00;No metering data available for this period;2,37;2,00
Sunday 14.3.2021 11:00;No metering data available for this period;1,82;1,80
Sunday 14.3.2021 12:00;No metering data available for this period;1,63;1,90
Sunday 14.3.2021 13:00;No metering data available for this period;1,01;2,10
Sunday 14.3.2021 14:00;No metering data available for this period;1,51;2,20
Sunday 14.3.2021 15:00;No metering data available for this period;1,79;2,20
Sunday 14.3.2021 16:00;No metering data available for this period;1,99;2,10
Sunday 14.3.2021 17:00;No metering data available for this period;1,55;2,00
Sunday 14.3.2021 18:00;No metering data available for this period;2,85;1,90
Sunday 14.3.2021 19:00;No metering data available for this period;3,54;1,70
Sunday 14.3.2021 20:00;No metering data available for this period;3,55;1,60
Sunday 14.3.2021 21:00;No metering data available for this period;1,65;1,40
Sunday 14.3.2021 22:00;1,09;No metering data available for this period;1,40
Sunday 14.3.2021 23:00;1,02;No metering data available for this period;1,20
Monday 15.3.2021 00:00;2,12;No metering data available for this period;1,20
Monday 15.3.2021 01:00;0,99;No metering data available for this period;1,20
Monday 15.3.2021 02:00;0,96;No metering data available for this period;1,20
Monday 15.3.2021 03:00;0,96;No metering data available for this period;1,20
Monday 15.3.2021 04:00;0,95;No metering data available for this period;1,20
Monday 15.3.2021 05:00;0,96;No metering data available for this period;1,20
Monday 15.3.2021 06:00;1,69;No metering data available for this period;1,20
Monday 15.3.2021 07:00;No metering data available for this period;1,22;1,20
Monday 15.3.2021 08:00;No metering data available for this period;1,80;1,50
Monday 15.3.2021 09:00;No metering data available for this period;0,98;2,10
Monday 15.3.2021 10:00;No metering data available for this period;1,49;2,30
Monday 15.3.2021 11:00;No metering data available for this period;1,11;2,50
Monday 15.3.2021 12:00;No metering data available for this period;2,45;2,40
Monday 15.3.2021 13:00;No metering data available for this period;1,29;2,30
Monday 15.3.2021 14:00;No metering data available for this period;1,27;2,30
Monday 15.3.2021 15:00;No metering data available for this period;1,84;2,20
Monday 15.3.2021 16:00;No metering data available for this period;1,11;2,40
Monday 15.3.2021 17:00;No metering data available for this period;3,19;2,40
Monday 15.3.2021 18:00;No metering data available for this period;5,62;1,90
Monday 15.3.2021 19:00;No metering data available for this period;1,40;1,50
Monday 15.3.2021 20:00;No metering data available for this period;2,11;1,50
Monday 15.3.2021 21:00;No metering data available for this period;1,28;1,00
Monday 15.3.2021 22:00;1,13;No metering data available for this period;1,00
Monday 15.3.2021 23:00;1,10;No metering data available for this period;0,80
Tuesday 16.3.2021 00:00;1,02;No metering data available for this period;0,40
Tuesday 16.3.2021 01:00;1,04;No metering data available for this period;0,20
Tuesday 16.3.2021 02:00;1,01;No metering data available for this period;0,00
Tuesday 16.3.2021 03:00;1,27;No metering data available for this period;0,10
Tuesday 16.3.2021 04:00;1,03;No metering data available for this period;0,30
Tuesday 16.3.2021 05:00;1,14;No metering data available for this period;0,40
Tuesday 16.3.2021 06:00;1,75;No metering data available for this period;0,40
Tuesday 16.3.2021 07:00;No metering data available for this period;1,35;0,50
Tuesday 16.3.2021 08:00;No metering data available for this period;1,29;0,80
Tuesday 16.3.2021 09:00;No metering data available for this period;1,08;1,30
Tuesday 16.3.2021 10:00;No metering data available for this period;1,93;1,60
Tuesday 16.3.2021 11:00;No metering data available for this period;0,88;2,20
Tuesday 16.3.2021 12:00;No metering data available for this period;1,41;2,80
Tuesday 16.3.2021 13:00;No metering data available for this period;2,01;3,00
Tuesday 16.3.2021 14:00;No metering data available for this period;1,04;3,40
Tuesday 16.3.2021 15:00;No metering data available for this period;1,03;3,20
Tuesday 16.3.2021 16:00;No metering data available for this period;1,58;3,30
Tuesday 16.3.2021 17:00;No metering data available for this period;2,11;2,80
Tuesday 16.3.2021 18:00;No metering data available for this period;1,38;1,60
Tuesday 16.3.2021 19:00;No metering data available for this period;2,03;0,10
Tuesday 16.3.2021 20:00;No metering data available for this period;1,69;-0,50
Tuesday 16.3.2021 21:00;No metering data available for this period;2,36;-0,10
Tuesday 16.3.2021 22:00;1,10;No metering data available for this period;0,30
Tuesday 16.3.2021 23:00;1,17;No metering data available for this period;0,00
Wednesday 17.3.2021 00:00;1,10;No metering data available for this period;-1,20
Wednesday 17.3.2021 01:00;1,30;No metering data available for this period;-2,10
Wednesday 17.3.2021 02:00;1,15;No metering data available for this period;-2,70
Wednesday 17.3.2021 03:00;1,35;No metering data available for this period;-2,90
Wednesday 17.3.2021 04:00;1,38;No metering data available for this period;-2,80
Wednesday 17.3.2021 05:00;1,28;No metering data available for this period;-2,10
Wednesday 17.3.2021 06:00;1,25;No metering data available for this period;-1,50
Wednesday 17.3.2021 07:00;No metering data available for this period;1,97;-0,80
Wednesday 17.3.2021 08:00;No metering data available for this period;1,58;0,30
Wednesday 17.3.2021 09:00;No metering data available for this period;2,30;1,00
Wednesday 17.3.2021 10:00;No metering data available for this period;2,27;1,60
Wednesday 17.3.2021 11:00;No metering data available for this period;1,29;2,00
Wednesday 17.3.2021 12:00;No metering data available for this period;1,51;2,20
Wednesday 17.3.2021 13:00;No metering data available for this period;1,69;2,70
Wednesday 17.3.2021 14:00;No metering data available for this period;1,14;2,70
Wednesday 17.3.2021 15:00;No metering data available for this period;1,10;2,60
Wednesday 17.3.2021 16:00;No metering data available for this period;2,20;2,10
Wednesday 17.3.2021 17:00;No metering data available for this period;3,48;1,80
Wednesday 17.3.2021 18:00;No metering data available for this period;4,63;1,30
Wednesday 17.3.2021 19:00;No metering data available for this period;2,96;1,00
Wednesday 17.3.2021 20:00;No metering data available for this period;2,81;0,60
Wednesday 17.3.2021 21:00;No metering data available for this period;1,42;-0,10
Wednesday 17.3.2021 22:00;1,36;No metering data available for this period;-1,10
Wednesday 17.3.2021 23:00;1,37;No metering data available for this period;-1,70
Thursday 18.3.2021 00:00;1,32;No metering data available for this period;-2,30
Thursday 18.3.2021 01:00;1,26;No metering data available for this period;-3,10
Thursday 18.3.2021 02:00;1,28;No metering data available for this period;-3,80
Thursday 18.3.2021 03:00;1,40;No metering data available for this period;-4,30
Thursday 18.3.2021 04:00;1,40;No metering data available for this period;-4,80
Thursday 18.3.2021 05:00;1,51;No metering data available for this period;-5,30
Thursday 18.3.2021 06:00;2,07;No metering data available for this period;-5,50
Thursday 18.3.2021 07:00;No metering data available for this period;1,46;-4,50
Thursday 18.3.2021 08:00;No metering data available for this period;1,70;-2,70
Thursday 18.3.2021 09:00;No metering data available for this period;2,28;-1,10
Thursday 18.3.2021 10:00;No metering data available for this period;1,24;-0,50
Thursday 18.3.2021 11:00;No metering data available for this period;1,58;0,00
Thursday 18.3.2021 12:00;No metering data available for this period;1,18;-0,10
Thursday 18.3.2021 13:00;No metering data available for this period;1,26;0,40
Thursday 18.3.2021 14:00;No metering data available for this period;1,33;0,70
Thursday 18.3.2021 15:00;No metering data available for this period;1,31;0,50
Thursday 18.3.2021 16:00;No metering data available for this period;1,26;-0,20
Thursday 18.3.2021 17:00;No metering data available for this period;1,75;-1,20
Thursday 18.3.2021 18:00;No metering data available for this period;1,64;-2,20
Thursday 18.3.2021 19:00;No metering data available for this period;1,71;-3,40
Thursday 18.3.2021 20:00;No metering data available for this period;5,77;-3,90
Thursday 18.3.2021 21:00;No metering data available for this period;4,27;-4,30
Thursday 18.3.2021 22:00;1,97;No metering data available for this period;-5,10
Thursday 18.3.2021 23:00;1,66;No metering data available for this period;-5,40
Friday 19.3.2021 00:00;1,39;No metering data available for this period;-5,50
Friday 19.3.2021 01:00;1,43;No metering data available for this period;-6,10
Friday 19.3.2021 02:00;1,43;No metering data available for this period;-6,50
Friday 19.3.2021 03:00;1,83;No metering data available for this period;-6,90
Friday 19.3.2021 04:00;1,52;No metering data available for this period;-7,20
Friday 19.3.2021 05:00;2,17;No metering data available for this period;-7,60
Friday 19.3.2021 06:00;1,58;No metering data available for this period;-7,60
Friday 19.3.2021 07:00;No metering data available for this period;2,01;-6,90
Friday 19.3.2021 08:00;No metering data available for this period;1,97;-5,80
Friday 19.3.2021 09:00;No metering data available for this period;1,61;-4,80
Friday 19.3.2021 10:00;No metering data available for this period;1,45;-4,30
Friday 19.3.2021 11:00;No metering data available for this period;1,99;-3,30
Friday 19.3.2021 12:00;No metering data available for this period;1,46;-2,50
Friday 19.3.2021 13:00;No metering data available for this period;1,40;-1,70
Friday 19.3.2021 14:00;No metering data available for this period;1,39;-1,40
Friday 19.3.2021 15:00;No metering data available for this period;1,31;-1,00
Friday 19.3.2021 16:00;No metering data available for this period;1,69;-1,50
Friday 19.3.2021 17:00;No metering data available for this period;1,68;-2,60
Friday 19.3.2021 18:00;No metering data available for this period;2,05;-3,60
Friday 19.3.2021 19:00;No metering data available for this period;1,61;-5,20
Friday 19.3.2021 20:00;No metering data available for this period;1,69;-6,70
Friday 19.3.2021 21:00;No metering data available for this period;1,70;-7,90
Friday 19.3.2021 22:00;1,68;No metering data available for this period;-8,70
Friday 19.3.2021 23:00;2,19;No metering data available for this period;-9,40
Saturday 20.3.2021 00:00;2,30;No metering data available for this period;-10,00
Saturday 20.3.2021 01:00;1,61;No metering data available for this period;-10,40
Saturday 20.3.2021 02:00;1,47;No metering data available for this period;-10,30
Saturday 20.3.2021 03:00;1,54;No metering data available for this period;-9,60
Saturday 20.3.2021 04:00;1,45;No metering data available for this period;-7,80
Saturday 20.3.2021 05:00;1,37;No metering data available for this period;-6,10
Saturday 20.3.2021 06:00;1,38;No metering data available for this period;-4,80
Saturday 20.3.2021 07:00;No metering data available for this period;1,75;-3,40
Saturday 20.3.2021 08:00;No metering data available for this period;1,43;-2,40
Saturday 20.3.2021 09:00;No metering data available for this period;2,36;-2,10
Saturday 20.3.2021 10:00;No metering data available for this period;1,60;-0,90
Saturday 20.3.2021 11:00;No metering data available for this period;2,46;-0,10
Saturday 20.3.2021 12:00;No metering data available for this period;1,19;0,50
Saturday 20.3.2021 13:00;No metering data available for this period;1,16;0,60
Saturday 20.3.2021 14:00;No metering data available for this period;1,30;0,70
Saturday 20.3.2021 15:00;No metering data available for this period;1,94;0,70
Saturday 20.3.2021 16:00;No metering data available for this period;1,30;0,60
Saturday 20.3.2021 17:00;No metering data available for this period;1,53;0,40
Saturday 20.3.2021 18:00;No metering data available for this period;1,88;0,40
Saturday 20.3.2021 19:00;No metering data available for this period;1,80;0,40
Saturday 20.3.2021 20:00;No metering data available for this period;2,60;0,50
Saturday 20.3.2021 21:00;No metering data available for this period;2,17;0,60
Saturday 20.3.2021 22:00;1,48;No metering data available for this period;0,80
Saturday 20.3.2021 23:00;1,83;No metering data available for this period;1,10
Sunday 21.3.2021 00:00;1,20;No metering data available for this period;1,10
Sunday 21.3.2021 01:00;1,11;No metering data available for this period;1,20
Sunday 21.3.2021 02:00;1,09;No metering data available for this period;1,20
Sunday 21.3.2021 03:00;1,11;No metering data available for this period;1,50
Sunday 21.3.2021 04:00;1,52;No metering data available for this period;1,40
Sunday 21.3.2021 05:00;1,16;No metering data available for this period;1,10
Sunday 21.3.2021 06:00;1,32;No metering data available for this period;0,50
Sunday 21.3.2021 07:00;No metering data available for this period;1,86;0,50
Sunday 21.3.2021 08:00;No metering data available for this period;1,45;1,40
Sunday 21.3.2021 09:00;No metering data available for this period;2,28;2,40
Sunday 21.3.2021 10:00;No metering data available for this period;1,40;3,20
Sunday 21.3.2021 11:00;No metering data available for this period;1,25;3,40
Sunday 21.3.2021 12:00;No metering data available for this period;1,37;3,50
Sunday 21.3.2021 13:00;No metering data available for this period;4,68;3,90
Sunday 21.3.2021 14:00;No metering data available for this period;5,04;3,50
Sunday 21.3.2021 15:00;No metering data available for this period;1,15;3,10
Sunday 21.3.2021 16:00;No metering data available for this period;2,64;2,60
Sunday 21.3.2021 17:00;No metering data available for this period;1,53;1,80
Sunday 21.3.2021 18:00;No metering data available for this period;1,45;1,30
Sunday 21.3.2021 19:00;No metering data available for this period;2,31;0,80
Sunday 21.3.2021 20:00;No metering data available for this period;1,70;0,20
Sunday 21.3.2021 21:00;No metering data available for this period;1,38;-0,40
Sunday 21.3.2021 22:00;1,30;No metering data available for this period;-0,80
Sunday 21.3.2021 23:00;1,64;No metering data available for this period;-1,20
Monday 22.3.2021 00:00;1,23;No metering data available for this period;-1,70
Monday 22.3.2021 01:00;1,19;No metering data available for this period;-2,00
Monday 22.3.2021 02:00;1,19;No metering data available for this period;-2,50
Monday 22.3.2021 03:00;1,23;No metering data available for this period;-2,70
Monday 22.3.2021 04:00;1,65;No metering data available for this period;-3,10
Monday 22.3.2021 05:00;1,25;No metering data available for this period;-3,50
Monday 22.3.2021 06:00;1,33;No metering data available for this period;-3,80
