Period;Night-time distribution tariff (kWh);Day-time distribution tariff (kWh);Outdoor temperature (*C)
Monday 4.1.2021 23:00;1,32;No metering data available for this period;-0,80
Tuesday 5.1.2021 00:00;1,25;No metering data available for this period;-1,00
Tuesday 5.1.2021 01:00;1,21;No metering data available for this period;-1,10
Tuesday 5.1.2021 02:00;1,21;No metering data available for this period;-1,10
Tuesday 5.1.2021 03:00;1,49;No metering data available for this period;-1,20
Tuesday 5.1.2021 04:00;1,26;No metering data available for this period;-1,30
Tuesday 5.1.2021 05:00;1,24;No metering data available for this period;-1,40
Tuesday 5.1.2021 06:00;1,26;No metering data available for this period;-1,50
Tuesday 5.1.2021 07:00;No metering data available for this period;1,28;-1,70
Tuesday 5.1.2021 08:00;No metering data available for this period;2,03;-1,80
Tuesday 5.1.2021 09:00;No metering data available for this period;1,51;-2,00
Tuesday 5.1.2021 10:00;No metering data available for this period;2,23;-2,00
Tuesday 5.1.2021 11:00;No metering data available for this period;1,63;-2,30
Tuesday 5.1.2021 12:00;No metering data available for this period;1,68;-2,20
Tuesday 5.1.2021 13:00;No metering data available for this period;1,36;-2,30
Tuesday 5.1.2021 14:00;No metering data available for this period;2,15;-2,30
Tuesday 5.1.2021 15:00;No metering data available for this period;2,12;-2,30
Tuesday 5.1.2021 16:00;No metering data available for this period;1,65;-2,40
Tuesday 5.1.2021 17:00;No metering data available for this period;2,25;-2,40
Tuesday 5.1.2021 18:00;No metering data available for this period;2,34;-2,60
Tuesday 5.1.2021 19:00;No metering data available for this period;1,65;-2,80
Tuesday 5.1.2021 20:00;No metering data available for this period;1,80;-2,60
Tuesday 5.1.2021 21:00;No metering data available for this period;1,83;-3,00
Tuesday 5.1.2021 22:00;1,52;No metering data available for this period;-3,30
Tuesday 5.1.2021 23:00;1,40;No metering data available for this period;-3,10
Wednesday 6.1.2021 00:00;1,51;No metering data available for this period;-3,00
Wednesday 6.1.2021 01:00;1,24;No metering data available for this period;-3,10
Wednesday 6.1.2021 02:00;1,21;No metering data available for this period;-3,00
Wednesday 6.1.2021 03:00;1,23;No metering data available for this period;-3,20
Wednesday 6.1.2021 04:00;1,69;No metering data available for this period;-3,00
Wednesday 6.1.2021 05:00;1,49;No metering data available for this period;-2,90
Wednesday 6.1.2021 06:00;1,85;No metering data available for this period;-2,90
Wednesday 6.1.2021 07:00;No metering data available for this period;1,95;-2,80
Wednesday 6.1.2021 08:00;No metering data available for this period;1,83;-2,80
Wednesday 6.1.2021 09:00;No metering data available for this period;3,10;-2,80
Wednesday 6.1.2021 10:00;No metering data available for this period;3,06;-2,80
Wednesday 6.1.2021 11:00;No metering data available for this period;1,82;-2,60
Wednesday 6.1.2021 12:00;No metering data available for this period;2,16;-2,50
Wednesday 6.1.2021 13:00;No metering data available for this period;2,75;-2,40
Wednesday 6.1.2021 14:00;No metering data available for this period;2,66;-2,20
Wednesday 6.1.2021 15:00;No metering data available for this period;2,00;-2,30
Wednesday 6.1.2021 16:00;No metering data available for this period;2,48;-2,60
Wednesday 6.1.2021 17:00;No metering data available for this period;3,44;-2,70
Wednesday 6.1.2021 18:00;No metering data available for this period;5,82;-2,50
Wednesday 6.1.2021 19:00;No metering data available for this period;3,03;-2,50
Wednesday 6.1.2021 20:00;No metering data available for this period;1,81;-2,20
Wednesday 6.1.2021 21:00;No metering data available for this period;1,93;-1,90
Wednesday 6.1.2021 22:00;1,60;No metering data available for this period;-1,70
Wednesday 6.1.2021 23:00;1,46;No metering data available for this period;-1,50
Thursday 7.1.2021 00:00;1,37;No metering data available for this period;-1,30
Thursday 7.1.2021 01:00;1,33;No metering data available for this period;-1,20
Thursday 7.1.2021 02:00;1,29;No metering data available for this period;-1,00
Thursday 7.1.2021 03:00;1,54;No metering data available for this period;-0,80
Thursday 7.1.2021 04:00;1,18;No metering data available for this period;-0,70
Thursday 7.1.2021 05:00;1,25;No metering data available for this period;-0,70
Thursday 7.1.2021 06:00;1,57;No metering data available for this period;-0,50
Thursday 7.1.2021 07:00;No metering data available for this period;2,54;-0,60
