Period;Night-time distribution tariff (kWh);Day-time distribution tariff (kWh);Outdoor temperature (*C)
Tuesday 4.1.2022 21:00;No metering data available for this period;1,57;-0,70
Tuesday 4.1.2022 22:00;1,64;No metering data available for this period;-1,10
Tuesday 4.1.2022 23:00;1,45;No metering data available for this period;-1,80
Wednesday 5.1.2022 00:00;1,40;No metering data available for this period;-2,40
Wednesday 5.1.2022 01:00;1,40;No metering data available for this period;-2,30
Wednesday 5.1.2022 02:00;1,34;No metering data available for this period;-1,40
Wednesday 5.1.2022 03:00;1,31;No metering data available for this period;-0,80
Wednesday 5.1.2022 04:00;1,84;No metering data available for this period;-0,40
Wednesday 5.1.2022 05:00;1,36;No metering data available for this period;0,20
Wednesday 5.1.2022 06:00;1,31;No metering data available for this period;0,60
Wednesday 5.1.2022 07:00;No metering data available for this period;1,53;0,70
Wednesday 5.1.2022 08:00;No metering data available for this period;1,24;0,80
Wednesday 5.1.2022 09:00;No metering data available for this period;1,45;0,70
Wednesday 5.1.2022 10:00;No metering data available for this period;1,39;0,70
Wednesday 5.1.2022 11:00;No metering data available for this period;1,84;0,70
Wednesday 5.1.2022 12:00;No metering data available for this period;2,06;0,70
Wednesday 5.1.2022 13:00;No metering data available for this period;2,71;0,60
Wednesday 5.1.2022 14:00;No metering data available for this period;4,22;0,10
Wednesday 5.1.2022 15:00;No metering data available for this period;2,38;0,10
Wednesday 5.1.2022 16:00;No metering data available for this period;1,92;0,40
Wednesday 5.1.2022 17:00;No metering data available for this period;1,80;0,60
Wednesday 5.1.2022 18:00;No metering data available for this period;1,58;0,60
Wednesday 5.1.2022 19:00;No metering data available for this period;1,76;0,70
Wednesday 5.1.2022 20:00;No metering data available for this period;1,71;0,70
Wednesday 5.1.2022 21:00;No metering data available for this period;1,80;0,60
Wednesday 5.1.2022 22:00;1,61;No metering data available for this period;0,10
Wednesday 5.1.2022 23:00;1,59;No metering data available for this period;-0,40
Thursday 6.1.2022 00:00;1,50;No metering data available for this period;-0,50
Thursday 6.1.2022 01:00;1,26;No metering data available for this period;-0,60
Thursday 6.1.2022 02:00;1,76;No metering data available for this period;-0,80
Thursday 6.1.2022 03:00;1,34;No metering data available for this period;-1,00
Thursday 6.1.2022 04:00;1,34;No metering data available for this period;-0,80
Thursday 6.1.2022 05:00;1,71;No metering data available for this period;-1,20
Thursday 6.1.2022 06:00;1,32;No metering data available for this period;-3,40
Thursday 6.1.2022 07:00;No metering data available for this period;1,53;-4,90
Thursday 6.1.2022 08:00;No metering data available for this period;2,01;-5,70
Thursday 6.1.2022 09:00;No metering data available for this period;1,71;-6,20
Thursday 6.1.2022 10:00;No metering data available for this period;2,28;-6,40
Thursday 6.1.2022 11:00;No metering data available for this period;1,64;-6,30
Thursday 6.1.2022 12:00;No metering data available for this period;1,65;-6,50
Thursday 6.1.2022 13:00;No metering data available for this period;2,21;-6,40
Thursday 6.1.2022 14:00;No metering data available for this period;2,51;-6,90
Thursday 6.1.2022 15:00;No metering data available for this period;2,31;-7,70
Thursday 6.1.2022 16:00;No metering data available for this period;1,84;-8,10
Thursday 6.1.2022 17:00;No metering data available for this period;2,76;-8,10
Thursday 6.1.2022 18:00;No metering data available for this period;6,63;-8,00
Thursday 6.1.2022 19:00;No metering data available for this period;3,87;-8,10
Thursday 6.1.2022 20:00;No metering data available for this period;2,12;-8,10
Thursday 6.1.2022 21:00;No metering data available for this period;2,22;-8,20
Thursday 6.1.2022 22:00;2,18;No metering data available for this period;-8,10
Thursday 6.1.2022 23:00;2,04;No metering data available for this period;-7,10
Friday 7.1.2022 00:00;2,38;No metering data available for this period;-6,10
Friday 7.1.2022 01:00;1,50;No metering data available for this period;-6,20
Friday 7.1.2022 02:00;1,48;No metering data available for this period;-6,80
Friday 7.1.2022 03:00;1,54;No metering data available for this period;-7,20
Friday 7.1.2022 04:00;2,04;No metering data available for this period;-7,70
Friday 7.1.2022 05:00;1,81;No metering data available for this period;-7,80
Friday 7.1.2022 06:00;1,59;No metering data available for this period;-7,80
Friday 7.1.2022 07:00;No metering data available for this period;1,57;-7,90
Friday 7.1.2022 08:00;No metering data available for this period;2,31;-8,20
Friday 7.1.2022 09:00;No metering data available for this period;2,23;-8,50
Friday 7.1.2022 10:00;No metering data available for this period;1,99;-8,50
Friday 7.1.2022 11:00;No metering data available for this period;2,86;-8,00
Friday 7.1.2022 12:00;No metering data available for this period;2,33;-7,70
Friday 7.1.2022 13:00;No metering data available for this period;2,26;-7,60
Friday 7.1.2022 14:00;No metering data available for this period;2,90;-8,00
Friday 7.1.2022 15:00;No metering data available for this period;2,35;-8,60
Friday 7.1.2022 16:00;No metering data available for this period;4,95;-9,10
Friday 7.1.2022 17:00;No metering data available for this period;6,06;-8,10
Friday 7.1.2022 18:00;No metering data available for this period;5,55;-7,60
Friday 7.1.2022 19:00;No metering data available for this period;3,22;-7,30
Friday 7.1.2022 20:00;No metering data available for this period;2,47;-7,00
Friday 7.1.2022 21:00;No metering data available for this period;2,39;-7,00
Friday 7.1.2022 22:00;2,54;No metering data available for this period;-7,30
Friday 7.1.2022 23:00;2,89;No metering data available for this period;-7,70
Saturday 8.1.2022 00:00;1,94;No metering data available for this period;-8,30
Saturday 8.1.2022 01:00;2,25;No metering data available for this period;-9,70
Saturday 8.1.2022 02:00;2,25;No metering data available for this period;-10,90
Saturday 8.1.2022 03:00;1,71;No metering data available for this period;-12,00
Saturday 8.1.2022 04:00;2,27;No metering data available for this period;-13,00
Saturday 8.1.2022 05:00;2,23;No metering data available for this period;-13,30
Saturday 8.1.2022 06:00;2,22;No metering data available for this period;-13,70
Saturday 8.1.2022 07:00;No metering data available for this period;2,41;-13,50
Saturday 8.1.2022 08:00;No metering data available for this period;3,06;-13,70
Saturday 8.1.2022 09:00;No metering data available for this period;2,50;-13,40
Saturday 8.1.2022 10:00;No metering data available for this period;2,31;-11,60
Saturday 8.1.2022 11:00;No metering data available for this period;2,63;-9,70
Saturday 8.1.2022 12:00;No metering data available for this period;3,79;-8,40
Saturday 8.1.2022 13:00;No metering data available for this period;2,58;-7,60
Saturday 8.1.2022 14:00;No metering data available for this period;2,55;-6,80
Saturday 8.1.2022 15:00;No metering data available for this period;1,90;-6,10
Saturday 8.1.2022 16:00;No metering data available for this period;2,38;-5,00
Saturday 8.1.2022 17:00;No metering data available for this period;2,27;-4,30
Saturday 8.1.2022 18:00;No metering data available for this period;3,16;-4,00
Saturday 8.1.2022 19:00;No metering data available for this period;3,06;-3,80
Saturday 8.1.2022 20:00;No metering data available for this period;2,29;-4,40
Saturday 8.1.2022 21:00;No metering data available for this period;2,19;-4,40
Saturday 8.1.2022 22:00;2,03;No metering data available for this period;-4,30
Saturday 8.1.2022 23:00;1,63;No metering data available for this period;-3,90
Sunday 9.1.2022 00:00;2,23;No metering data available for this period;-3,60
Sunday 9.1.2022 01:00;1,71;No metering data available for this period;-3,30
Sunday 9.1.2022 02:00;1,53;No metering data available for this period;-3,10
Sunday 9.1.2022 03:00;1,56;No metering data available for this period;-3,10
Sunday 9.1.2022 04:00;2,29;No metering data available for this period;-3,10
Sunday 9.1.2022 05:00;1,49;No metering data available for this period;-3,10
Sunday 9.1.2022 06:00;1,56;No metering data available for this period;-3,20
Sunday 9.1.2022 07:00;No metering data available for this period;1,76;-3,40
Sunday 9.1.2022 08:00;No metering data available for this period;2,45;-3,60
Sunday 9.1.2022 09:00;No metering data available for this period;1,98;-3,60
Sunday 9.1.2022 10:00;No metering data available for this period;2,15;-3,90
Sunday 9.1.2022 11:00;No metering data available for this period;2,38;-4,00
Sunday 9.1.2022 12:00;No metering data available for this period;1,81;-4,00
Sunday 9.1.2022 13:00;No metering data available for this period;2,44;-3,70
Sunday 9.1.2022 14:00;No metering data available for this period;1,59;-3,80
Sunday 9.1.2022 15:00;No metering data available for this period;1,84;-3,70
Sunday 9.1.2022 16:00;No metering data available for this period;2,96;-3,90
Sunday 9.1.2022 17:00;No metering data available for this period;2,41;-3,90
Sunday 9.1.2022 18:00;No metering data available for this period;3,67;-4,20
Sunday 9.1.2022 19:00;No metering data available for this period;2,60;-4,30
Sunday 9.1.2022 20:00;No metering data available for this period;2,66;-4,30
Sunday 9.1.2022 21:00;No metering data available for this period;1,97;-4,30
Sunday 9.1.2022 22:00;2,41;No metering data available for this period;-4,40
Sunday 9.1.2022 23:00;1,67;No metering data available for this period;-4,60
Monday 10.1.2022 00:00;1,69;No metering data available for this period;-5,10
Monday 10.1.2022 01:00;2,30;No metering data available for this period;-5,70
Monday 10.1.2022 02:00;1,63;No metering data available for this period;-6,50
Monday 10.1.2022 03:00;1,91;No metering data available for this period;-6,40
Monday 10.1.2022 04:00;1,95;No metering data available for this period;-6,70
Monday 10.1.2022 05:00;1,87;No metering data available for this period;-6,60
Monday 10.1.2022 06:00;1,95;No metering data available for this period;-6,50
Monday 10.1.2022 07:00;No metering data available for this period;1,68;-7,20
Monday 10.1.2022 08:00;No metering data available for this period;2,56;-8,10
Monday 10.1.2022 09:00;No metering data available for this period;2,44;-9,30
Monday 10.1.2022 10:00;No metering data available for this period;2,25;-10,00
Monday 10.1.2022 11:00;No metering data available for this period;1,94;-10,00
Monday 10.1.2022 12:00;No metering data available for this period;2,17;-9,90
Monday 10.1.2022 13:00;No metering data available for this period;2,34;-9,80
Monday 10.1.2022 14:00;No metering data available for this period;2,30;-10,10
Monday 10.1.2022 15:00;No metering data available for this period;2,33;-10,60
Monday 10.1.2022 16:00;No metering data available for this period;2,78;-11,30
Monday 10.1.2022 17:00;No metering data available for this period;3,01;-11,60
Monday 10.1.2022 18:00;No metering data available for this period;3,59;-12,50
Monday 10.1.2022 19:00;No metering data available for this period;2,79;-13,20
Monday 10.1.2022 20:00;No metering data available for this period;2,70;-14,00
Monday 10.1.2022 21:00;No metering data available for this period;2,59;-14,80
Monday 10.1.2022 22:00;2,34;No metering data available for this period;-15,30
Monday 10.1.2022 23:00;2,36;No metering data available for this period;-16,10
Tuesday 11.1.2022 00:00;2,36;No metering data available for this period;-16,50
Tuesday 11.1.2022 01:00;2,39;No metering data available for this period;-16,90
Tuesday 11.1.2022 02:00;2,37;No metering data available for this period;-17,40
Tuesday 11.1.2022 03:00;2,35;No metering data available for this period;-18,00
Tuesday 11.1.2022 04:00;2,40;No metering data available for this period;-18,10
Tuesday 11.1.2022 05:00;2,41;No metering data available for this period;-18,70
Tuesday 11.1.2022 06:00;2,63;No metering data available for this period;-18,80
Tuesday 11.1.2022 07:00;No metering data available for this period;2,87;-18,00
Tuesday 11.1.2022 08:00;No metering data available for this period;3,42;-16,80
Tuesday 11.1.2022 09:00;No metering data available for this period;2,69;-15,60
Tuesday 11.1.2022 10:00;No metering data available for this period;2,38;-14,10
Tuesday 11.1.2022 11:00;No metering data available for this period;2,36;-13,00
Tuesday 11.1.2022 12:00;No metering data available for this period;1,41;-12,00
Tuesday 11.1.2022 13:00;No metering data available for this period;2,29;-11,00
Tuesday 11.1.2022 14:00;No metering data available for this period;2,39;-10,10
Tuesday 11.1.2022 15:00;No metering data available for this period;2,31;-9,50
Tuesday 11.1.2022 16:00;No metering data available for this period;2,35;-7,70
Tuesday 11.1.2022 17:00;No metering data available for this period;2,81;-7,40
Tuesday 11.1.2022 18:00;No metering data available for this period;4,39;-7,00
Tuesday 11.1.2022 19:00;No metering data available for this period;2,89;-6,50
Tuesday 11.1.2022 20:00;No metering data available for this period;6,54;-5,80
Tuesday 11.1.2022 21:00;No metering data available for this period;4,06;-5,60
Tuesday 11.1.2022 22:00;2,40;No metering data available for this period;-5,20
Tuesday 11.1.2022 23:00;2,14;No metering data available for this period;-4,60
Wednesday 12.1.2022 00:00;1,90;No metering data available for this period;-4,20
Wednesday 12.1.2022 01:00;1,95;No metering data available for this period;-3,80
Wednesday 12.1.2022 02:00;1,83;No metering data available for this period;-3,60
Wednesday 12.1.2022 03:00;1,59;No metering data available for this period;-3,40
Wednesday 12.1.2022 04:00;2,22;No metering data available for this period;-3,10
Wednesday 12.1.2022 05:00;1,70;No metering data available for this period;-2,70
Wednesday 12.1.2022 06:00;2,59;No metering data available for this period;-2,30
Wednesday 12.1.2022 07:00;No metering data available for this period;2,56;-1,70
Wednesday 12.1.2022 08:00;No metering data available for this period;1,47;-1,30
Wednesday 12.1.2022 09:00;No metering data available for this period;1,86;-0,90
Wednesday 12.1.2022 10:00;No metering data available for this period;1,63;-0,50
Wednesday 12.1.2022 11:00;No metering data available for this period;2,05;0,00
Wednesday 12.1.2022 12:00;No metering data available for this period;1,44;0,20
Wednesday 12.1.2022 13:00;No metering data available for this period;1,56;0,50
Wednesday 12.1.2022 14:00;No metering data available for this period;1,52;0,60
Wednesday 12.1.2022 15:00;No metering data available for this period;2,16;0,70
Wednesday 12.1.2022 16:00;No metering data available for this period;1,42;0,90
Wednesday 12.1.2022 17:00;No metering data available for this period;3,50;1,20
Wednesday 12.1.2022 18:00;No metering data available for this period;7,25;1,40
Wednesday 12.1.2022 19:00;No metering data available for this period;4,05;1,40
Wednesday 12.1.2022 20:00;No metering data available for this period;2,01;1,20
Wednesday 12.1.2022 21:00;No metering data available for this period;1,94;1,30
Wednesday 12.1.2022 22:00;2,38;No metering data available for this period;1,50
Wednesday 12.1.2022 23:00;1,33;No metering data available for this period;1,80
Thursday 13.1.2022 00:00;1,39;No metering data available for this period;1,90
Thursday 13.1.2022 01:00;1,35;No metering data available for this period;2,10
Thursday 13.1.2022 02:00;1,31;No metering data available for this period;2,20
Thursday 13.1.2022 03:00;1,29;No metering data available for this period;2,40
Thursday 13.1.2022 04:00;1,34;No metering data available for this period;2,60
Thursday 13.1.2022 05:00;2,23;No metering data available for this period;2,60
Thursday 13.1.2022 06:00;1,42;No metering data available for this period;2,60
Thursday 13.1.2022 07:00;No metering data available for this period;1,63;2,70
Thursday 13.1.2022 08:00;No metering data available for this period;1,27;2,60
Thursday 13.1.2022 09:00;No metering data available for this period;1,21;2,70
Thursday 13.1.2022 10:00;No metering data available for this period;1,81;4,20
Thursday 13.1.2022 11:00;No metering data available for this period;1,23;4,50
Thursday 13.1.2022 12:00;No metering data available for this period;1,17;4,90
Thursday 13.1.2022 13:00;No metering data available for this period;1,30;5,00
Thursday 13.1.2022 14:00;No metering data available for this period;1,76;4,80
Thursday 13.1.2022 15:00;No metering data available for this period;1,38;4,20
Thursday 13.1.2022 16:00;No metering data available for this period;2,08;4,40
Thursday 13.1.2022 17:00;No metering data available for this period;1,43;5,10
